"Status","Year","Age","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","65+","Asian","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Human Resources","Male","10","10","[c]","[c]"
"In post","2023","65+","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Legal","Female","10","5","[c]","[c]"
"In post","2023","65+","Asian","Legal","Male","15","10","[c]","[c]"
"In post","2023","65+","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","No function","Female","325","235","28910","26920"
"In post","2023","65+","Asian","No function","Male","255","210","31950","28120"
"In post","2023","65+","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Project Delivery","Male","15","15","[c]","[c]"
"In post","2023","65+","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Property","Female","5","5","[c]","[c]"
"In post","2023","65+","Asian","Property","Male","5","5","[c]","[c]"
"In post","2023","65+","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Security","Male","20","15","[c]","[c]"
"In post","2023","65+","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Asian","Unknown","Male","5","5","[c]","[c]"
"In post","2023","65+","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Counter Fraud","Female","10","5","[c]","[c]"
"In post","2023","65+","Black","Counter Fraud","Male","10","10","[c]","[c]"
"In post","2023","65+","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Digital, Data & Technology","Male","5","5","[c]","[c]"
"In post","2023","65+","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Finance","Female","10","5","[c]","[c]"
"In post","2023","65+","Black","Finance","Male","10","10","[c]","[c]"
"In post","2023","65+","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Legal","Female","15","10","[c]","[c]"
"In post","2023","65+","Black","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","No function","Female","225","185","29680","27190"
"In post","2023","65+","Black","No function","Male","155","135","31970","29050"
"In post","2023","65+","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Project Delivery","Female","5","5","[c]","[c]"
"In post","2023","65+","Black","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Security","Male","5","5","[c]","[c]"
"In post","2023","65+","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","No function","Female","60","50","29050","28120"
"In post","2023","65+","Mixed","No function","Male","55","50","33340","29530"
"In post","2023","65+","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","No function","Female","30","20","[c]","[c]"
"In post","2023","65+","Other ethnicity","No function","Male","20","15","[c]","[c]"
"In post","2023","65+","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Project Delivery","Male","5","5","[c]","[c]"
"In post","2023","65+","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Counter Fraud","Female","20","15","[c]","[c]"
"In post","2023","65+","Undeclared","Counter Fraud","Male","25","15","[c]","[c]"
"In post","2023","65+","Undeclared","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Debt","Male","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Digital, Data & Technology","Female","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Digital, Data & Technology","Male","25","25","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","Female","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","Male","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","Female","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","Male","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Legal","Female","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Legal","Male","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","No function","Female","225","170","29460","27470"
"In post","2023","65+","Undeclared","No function","Male","280","215","35000","29820"
"In post","2023","65+","Undeclared","Project Delivery","Female","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","Male","15","10","[c]","[c]"
"In post","2023","65+","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Property","Male","15","10","[c]","[c]"
"In post","2023","65+","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Security","Male","15","15","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","Male","15","15","[c]","[c]"
"In post","2023","65+","Unknown","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Commercial","Male","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Counter Fraud","Female","20","15","[c]","[c]"
"In post","2023","65+","Unknown","Counter Fraud","Male","25","20","[c]","[c]"
"In post","2023","65+","Unknown","Debt","Female","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Debt","Male","15","15","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","Female","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","Male","30","25","41280","42060"
"In post","2023","65+","Unknown","Finance","Female","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Finance","Male","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Grants Management","Female","10","5","[c]","[c]"
"In post","2023","65+","Unknown","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Human Resources","Female","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Human Resources","Male","10","5","[c]","[c]"
"In post","2023","65+","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Legal","Female","20","15","[c]","[c]"
"In post","2023","65+","Unknown","Legal","Male","20","15","[c]","[c]"
"In post","2023","65+","Unknown","No function","Female","380","280","28920","25050"
"In post","2023","65+","Unknown","No function","Male","450","335","32130","28120"
"In post","2023","65+","Unknown","Project Delivery","Female","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Project Delivery","Male","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Property","Female","20","15","[c]","[c]"
"In post","2023","65+","Unknown","Property","Male","55","45","31700","27810"
"In post","2023","65+","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Security","Male","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Female","30","25","38390","27740"
"In post","2023","65+","Unknown","Unknown","Male","65","60","41360","37150"
"In post","2023","65+","White","Analysis","Female","25","15","[c]","[c]"
"In post","2023","65+","White","Analysis","Male","50","35","54480","49260"
"In post","2023","65+","White","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Commercial","Female","30","20","[c]","[c]"
"In post","2023","65+","White","Commercial","Male","55","50","48370","45080"
"In post","2023","65+","White","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Communications","Female","15","15","[c]","[c]"
"In post","2023","65+","White","Communications","Male","20","15","[c]","[c]"
"In post","2023","65+","White","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Counter Fraud","Female","190","125","29340","28120"
"In post","2023","65+","White","Counter Fraud","Male","190","130","34340","29730"
"In post","2023","65+","White","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Debt","Female","85","60","24410","22520"
"In post","2023","65+","White","Debt","Male","55","40","25750","22520"
"In post","2023","65+","White","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Digital, Data & Technology","Female","95","80","34870","30690"
"In post","2023","65+","White","Digital, Data & Technology","Male","245","205","43380","39510"
"In post","2023","65+","White","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Finance","Female","120","95","31710","28130"
"In post","2023","65+","White","Finance","Male","85","70","40100","36920"
"In post","2023","65+","White","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Grants Management","Female","25","20","[c]","[c]"
"In post","2023","65+","White","Grants Management","Male","20","15","[c]","[c]"
"In post","2023","65+","White","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Human Resources","Female","135","105","33290","28120"
"In post","2023","65+","White","Human Resources","Male","180","155","34990","33470"
"In post","2023","65+","White","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Internal Audit","Male","5","5","[c]","[c]"
"In post","2023","65+","White","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Legal","Female","75","55","44440","35890"
"In post","2023","65+","White","Legal","Male","90","65","56650","58880"
"In post","2023","65+","White","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","No function","Female","3735","2715","27450","25340"
"In post","2023","65+","White","No function","Male","3460","2675","32040","28120"
"In post","2023","65+","White","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Project Delivery","Female","100","75","44320","38420"
"In post","2023","65+","White","Project Delivery","Male","210","170","51660","44990"
"In post","2023","65+","White","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Property","Female","70","60","30780","27810"
"In post","2023","65+","White","Property","Male","205","180","36390","34640"
"In post","2023","65+","White","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Security","Female","40","35","28570","23750"
"In post","2023","65+","White","Security","Male","225","195","29060","22220"
"In post","2023","65+","White","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","White","Unknown","Female","195","155","39160","31940"
"In post","2023","65+","White","Unknown","Male","270","220","45680","39690"
"In post","2023","65+","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","No function","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","No function","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","No function","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","No function","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","No function","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","No function","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
