"Status","Year","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","Declared non-disabled","SCS level","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","SEO/HEO","Heterosexual / straight","4120","[c]","37380","36330"
"New entrant CS","2023","Declared non-disabled","SEO/HEO","LGBO","400","[c]","36170","35010"
"New entrant CS","2023","Declared non-disabled","SEO/HEO","Undeclared","260","[c]","37230","35450"
"New entrant CS","2023","Declared non-disabled","SEO/HEO","Unknown","155","[c]","35720","34400"
"New entrant CS","2023","Declared non-disabled","Unknown","Heterosexual / straight","2110","[c]","23830","23640"
"New entrant CS","2023","Declared non-disabled","Unknown","LGBO","225","[c]","22970","23640"
"New entrant CS","2023","Declared non-disabled","Unknown","Undeclared","70","[c]","23500","23640"
"New entrant CS","2023","Declared non-disabled","Unknown","Unknown","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","AA/AO","Heterosexual / straight","270","[c]","23700","22520"
"New entrant CS","2023","Undeclared","AA/AO","LGBO","70","[c]","23230","22500"
"New entrant CS","2023","Undeclared","AA/AO","Undeclared","125","[c]","23860","22500"
"New entrant CS","2023","Undeclared","AA/AO","Unknown","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","EO","Heterosexual / straight","105","[c]","27900","28120"
"New entrant CS","2023","Undeclared","EO","LGBO","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","EO","Undeclared","60","[c]","27560","27320"
"New entrant CS","2023","Undeclared","EO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","G6/G7","Heterosexual / straight","35","[c]","56840","54640"
"New entrant CS","2023","Undeclared","G6/G7","LGBO","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","G6/G7","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","G6/G7","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","SEO/HEO","Heterosexual / straight","125","[c]","36640","35410"
"New entrant CS","2023","Undeclared","SEO/HEO","LGBO","30","[c]","35370","34400"
"New entrant CS","2023","Undeclared","SEO/HEO","Undeclared","110","[c]","37000","35580"
"New entrant CS","2023","Undeclared","SEO/HEO","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","Heterosexual / straight","90","[c]","23170","23640"
"New entrant CS","2023","Undeclared","Unknown","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","AA/AO","Heterosexual / straight","1820","[c]","23050","22400"
"New entrant CS","2023","Unknown","AA/AO","LGBO","160","[c]","22910","22400"
"New entrant CS","2023","Unknown","AA/AO","Undeclared","105","[c]","22530","22400"
"New entrant CS","2023","Unknown","AA/AO","Unknown","11255","[c]","23860","22500"
"New entrant CS","2023","Unknown","EO","Heterosexual / straight","1500","[c]","28320","27080"
"New entrant CS","2023","Unknown","EO","LGBO","175","[c]","27820","26900"
"New entrant CS","2023","Unknown","EO","Undeclared","170","[c]","27970","27300"
"New entrant CS","2023","Unknown","EO","Unknown","4775","[c]","27600","26910"
"New entrant CS","2023","Unknown","G6/G7","Heterosexual / straight","465","[c]","57510","54440"
"New entrant CS","2023","Unknown","G6/G7","LGBO","30","[c]","55460","54000"
"New entrant CS","2023","Unknown","G6/G7","Undeclared","65","[c]","56390","54660"
"New entrant CS","2023","Unknown","G6/G7","Unknown","865","[c]","59560","55830"
"New entrant CS","2023","Unknown","SCS level","Heterosexual / straight","55","[c]","98180","90000"
"New entrant CS","2023","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","SCS level","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","SCS level","Unknown","110","[c]","108100","98000"
"New entrant CS","2023","Unknown","SEO/HEO","Heterosexual / straight","1670","[c]","36610","35100"
"New entrant CS","2023","Unknown","SEO/HEO","LGBO","165","[c]","35970","34850"
"New entrant CS","2023","Unknown","SEO/HEO","Undeclared","210","[c]","36010","34190"
"New entrant CS","2023","Unknown","SEO/HEO","Unknown","3445","[c]","36030","35020"
"New entrant CS","2023","Unknown","Unknown","Heterosexual / straight","130","[c]","28900","23640"
"New entrant CS","2023","Unknown","Unknown","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","Unknown","1305","[c]","23300","23640"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
