"Status","Year","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","Declared disabled","Inspector of Education and Training","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Intelligence Analysis","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","International Trade","30","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Knowledge and Information Management","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Legal","70","[c]","39830","38760"
"New entrant CS","2023","Declared disabled","Medicine","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Operational Delivery","2015","[c]","25000","23640"
"New entrant CS","2023","Declared disabled","Operational Research","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Other","130","[c]","26320","21690"
"New entrant CS","2023","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Policy","190","[c]","36070","33880"
"New entrant CS","2023","Declared disabled","Project Delivery","90","[c]","34160","32250"
"New entrant CS","2023","Declared disabled","Property","45","[c]","33740","30620"
"New entrant CS","2023","Declared disabled","Psychology","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Science and Engineering","100","[c]","31880","30350"
"New entrant CS","2023","Declared disabled","Security","30","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Social Research","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Statistics","35","[c]","34460","31310"
"New entrant CS","2023","Declared disabled","Tax","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Unknown","380","[c]","30570","28970"
"New entrant CS","2023","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Commercial","270","[c]","44700","35410"
"New entrant CS","2023","Declared non-disabled","Communications","240","[c]","37130","34260"
"New entrant CS","2023","Declared non-disabled","Corporate Finance","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Counter Fraud","355","[c]","27640","26620"
"New entrant CS","2023","Declared non-disabled","Digital, Data and Technology","1410","[c]","41720","38470"
"New entrant CS","2023","Declared non-disabled","Economics","200","[c]","33810","31560"
"New entrant CS","2023","Declared non-disabled","Finance","350","[c]","35750","31980"
"New entrant CS","2023","Declared non-disabled","Geography","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Human Resources","460","[c]","34570","30950"
"New entrant CS","2023","Declared non-disabled","Inspector of Education and Training","285","[c]","61190","52750"
"New entrant CS","2023","Declared non-disabled","Intelligence Analysis","30","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Internal Audit","30","[c]","45790","43160"
"New entrant CS","2023","Declared non-disabled","International Trade","230","[c]","41320","40350"
"New entrant CS","2023","Declared non-disabled","Knowledge and Information Management","95","[c]","32460","30930"
"New entrant CS","2023","Declared non-disabled","Legal","565","[c]","45580","49050"
"New entrant CS","2023","Declared non-disabled","Medicine","40","[c]","52960","41420"
"New entrant CS","2023","Declared non-disabled","Operational Delivery","13310","[c]","25670","23640"
"New entrant CS","2023","Declared non-disabled","Operational Research","40","[c]","35030","34170"
"New entrant CS","2023","Declared non-disabled","Other","645","[c]","27960","21690"
"New entrant CS","2023","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Planning Inspectors","70","[c]","48090","43740"
"New entrant CS","2023","Declared non-disabled","Policy","1060","[c]","38150","34410"
"New entrant CS","2023","Declared non-disabled","Project Delivery","535","[c]","40370","35410"
"New entrant CS","2023","Declared non-disabled","Property","280","[c]","34100","29660"
"New entrant CS","2023","Declared non-disabled","Psychology","100","[c]","29930","28480"
"New entrant CS","2023","Declared non-disabled","Science and Engineering","460","[c]","35630","32800"
"New entrant CS","2023","Declared non-disabled","Security","120","[c]","32750","31160"
"New entrant CS","2023","Declared non-disabled","Social Research","120","[c]","35940","33880"
"New entrant CS","2023","Declared non-disabled","Statistics","160","[c]","32540","31560"
"New entrant CS","2023","Declared non-disabled","Tax","145","[c]","34950","34400"
"New entrant CS","2023","Declared non-disabled","Unknown","1595","[c]","33380","29100"
"New entrant CS","2023","Declared non-disabled","Veterinarian","30","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Commercial","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Communications","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Counter Fraud","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Digital, Data and Technology","70","[c]","41930","39000"
"New entrant CS","2023","Undeclared","Economics","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Finance","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Human Resources","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Internal Audit","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","International Trade","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Legal","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Operational Delivery","645","[c]","25590","23640"
"New entrant CS","2023","Undeclared","Operational Research","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Other","30","[c]","28000","21690"
"New entrant CS","2023","Undeclared","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Policy","95","[c]","35570","32970"
"New entrant CS","2023","Undeclared","Project Delivery","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Property","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Science and Engineering","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Social Research","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Statistics","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Tax","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","90","[c]","32410","29100"
"New entrant CS","2023","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Commercial","330","[c]","32200","29160"
"New entrant CS","2023","Unknown","Communications","255","[c]","37920","36030"
"New entrant CS","2023","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Counter Fraud","95","[c]","29860","27890"
"New entrant CS","2023","Unknown","Digital, Data and Technology","1160","[c]","39420","36000"
"New entrant CS","2023","Unknown","Economics","135","[c]","34120","34410"
"New entrant CS","2023","Unknown","Finance","355","[c]","31860","28840"
"New entrant CS","2023","Unknown","Geography","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Human Resources","610","[c]","31700","28000"
"New entrant CS","2023","Unknown","Inspector of Education and Training","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Intelligence Analysis","125","[c]","29690","27080"
"New entrant CS","2023","Unknown","Internal Audit","20","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","International Trade","230","[c]","41420","41550"
"New entrant CS","2023","Unknown","Knowledge and Information Management","80","[c]","30810","27840"
"New entrant CS","2023","Unknown","Legal","185","[c]","43760","40800"
"New entrant CS","2023","Unknown","Medicine","290","[c]","52830","40590"
"New entrant CS","2023","Unknown","Operational Delivery","16545","[c]","26100","24390"
"New entrant CS","2023","Unknown","Operational Research","155","[c]","28540","22520"
"New entrant CS","2023","Unknown","Other","920","[c]","26700","22920"
"New entrant CS","2023","Unknown","Planning","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Planning Inspectors","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Policy","785","[c]","37470","33830"
"New entrant CS","2023","Unknown","Project Delivery","805","[c]","36630","33830"
"New entrant CS","2023","Unknown","Property","345","[c]","32300","28840"
"New entrant CS","2023","Unknown","Psychology","45","[c]","33530","30940"
"New entrant CS","2023","Unknown","Science and Engineering","950","[c]","32300","29160"
"New entrant CS","2023","Unknown","Security","665","[c]","29920","27500"
"New entrant CS","2023","Unknown","Social Research","70","[c]","35310","34710"
"New entrant CS","2023","Unknown","Statistics","175","[c]","30170","28840"
"New entrant CS","2023","Unknown","Tax","75","[c]","36170","34400"
"New entrant CS","2023","Unknown","Unknown","3045","[c]","32030","29100"
"New entrant CS","2023","Unknown","Veterinarian","10","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
