"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Security","G6/G7","Female","155","150","59440","58970"
"In post","2023","Declared non-disabled","Security","G6/G7","Male","305","305","62970","60780"
"In post","2023","Declared non-disabled","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Security","SCS level","Female","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Security","SCS level","Male","35","35","95470","91750"
"In post","2023","Declared non-disabled","Security","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Security","SEO/HEO","Female","515","495","38600","38470"
"In post","2023","Declared non-disabled","Security","SEO/HEO","Male","830","815","40920","38880"
"In post","2023","Declared non-disabled","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Security","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Security","Unknown","Male","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","EO","Female","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","EO","Male","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","G6/G7","Female","235","215","59280","58370"
"In post","2023","Declared non-disabled","Social Research","G6/G7","Male","120","120","60690","59230"
"In post","2023","Declared non-disabled","Social Research","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","SEO/HEO","Female","420","395","38490","39190"
"In post","2023","Declared non-disabled","Social Research","SEO/HEO","Male","145","145","38020","39190"
"In post","2023","Declared non-disabled","Social Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","EO","Female","60","55","28810","28310"
"In post","2023","Declared non-disabled","Statistics","EO","Male","85","85","28770","28310"
"In post","2023","Declared non-disabled","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","G6/G7","Female","320","295","59530","58630"
"In post","2023","Declared non-disabled","Statistics","G6/G7","Male","335","325","60040","59400"
"In post","2023","Declared non-disabled","Statistics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","SCS level","Male","30","30","84360","80330"
"In post","2023","Declared non-disabled","Statistics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","SEO/HEO","Female","440","415","38950","39200"
"In post","2023","Declared non-disabled","Statistics","SEO/HEO","Male","535","530","39210","39300"
"In post","2023","Declared non-disabled","Statistics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Tax","AA/AO","Female","555","495","22700","22520"
"In post","2023","Declared non-disabled","Tax","AA/AO","Male","445","435","22660","22520"
"In post","2023","Declared non-disabled","Tax","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Tax","EO","Female","1285","1175","28780","28130"
"In post","2023","Declared non-disabled","Tax","EO","Male","1225","1190","28630","28130"
"In post","2023","Declared non-disabled","Tax","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Tax","G6/G7","Female","815","760","61770","57970"
"In post","2023","Declared non-disabled","Tax","G6/G7","Male","1200","1155","62510","57970"
"In post","2023","Declared non-disabled","Tax","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Tax","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Tax","SCS level","Male","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Tax","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Tax","SEO/HEO","Female","2430","2275","38020","35000"
"In post","2023","Declared non-disabled","Tax","SEO/HEO","Male","2605","2530","37960","35000"
"In post","2023","Declared non-disabled","Tax","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Female","1090","1010","24540","24890"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Male","1125","1100","25750","24890"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","EO","Female","1630","1540","29750","29450"
"In post","2023","Declared non-disabled","Unknown","EO","Male","1205","1185","30370","29450"
"In post","2023","Declared non-disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Female","2010","1915","64110","65280"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Male","1700","1675","65310","65280"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SCS level","Female","240","230","90990","83530"
"In post","2023","Declared non-disabled","Unknown","SCS level","Male","270","265","95160","85200"
"In post","2023","Declared non-disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Female","3305","3150","40020","38520"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Male","2650","2610","40680","39790"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Female","45","45","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Male","70","70","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","EO","Female","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","EO","Male","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","G6/G7","Female","60","60","54250","54330"
"In post","2023","Declared non-disabled","Veterinarian","G6/G7","Male","50","50","56580","55860"
"In post","2023","Declared non-disabled","Veterinarian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","SEO/HEO","Female","95","85","39430","37820"
"In post","2023","Declared non-disabled","Veterinarian","SEO/HEO","Male","75","75","40110","38480"
"In post","2023","Declared non-disabled","Veterinarian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Commercial","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Commercial","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Commercial","EO","Female","30","30","28390","28100"
"In post","2023","Undeclared","Commercial","EO","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Commercial","G6/G7","Female","80","75","62920","62000"
"In post","2023","Undeclared","Commercial","G6/G7","Male","95","95","67880","66270"
"In post","2023","Undeclared","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Commercial","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Commercial","SEO/HEO","Female","120","115","39380","38320"
"In post","2023","Undeclared","Commercial","SEO/HEO","Male","110","105","41570","41220"
"In post","2023","Undeclared","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Communications","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Communications","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Communications","EO","Female","20","20","[c]","[c]"
"In post","2023","Undeclared","Communications","EO","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Communications","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Undeclared","Communications","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Communications","SEO/HEO","Female","60","55","39670","39860"
"In post","2023","Undeclared","Communications","SEO/HEO","Male","45","45","39840","39690"
"In post","2023","Undeclared","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","AA/AO","Female","40","35","23250","21730"
"In post","2023","Undeclared","Counter Fraud","AA/AO","Male","30","30","23500","22690"
"In post","2023","Undeclared","Counter Fraud","EO","Female","125","115","28880","28120"
"In post","2023","Undeclared","Counter Fraud","EO","Male","120","115","29030","28120"
"In post","2023","Undeclared","Counter Fraud","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","SEO/HEO","Female","55","50","37230","35200"
"In post","2023","Undeclared","Counter Fraud","SEO/HEO","Male","85","85","37020","35000"
"In post","2023","Undeclared","Digital, Data and Technology","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Digital, Data and Technology","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Undeclared","Digital, Data and Technology","EO","Female","50","45","28210","28120"
"In post","2023","Undeclared","Digital, Data and Technology","EO","Male","125","120","29610","28120"
"In post","2023","Undeclared","Digital, Data and Technology","G6/G7","Female","120","120","58880","57050"
"In post","2023","Undeclared","Digital, Data and Technology","G6/G7","Male","265","265","60240","58710"
"In post","2023","Undeclared","Digital, Data and Technology","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Digital, Data and Technology","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Digital, Data and Technology","SEO/HEO","Female","160","155","38190","38080"
"In post","2023","Undeclared","Digital, Data and Technology","SEO/HEO","Male","480","470","39530","38890"
"In post","2023","Undeclared","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Economics","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Economics","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Economics","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Economics","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Economics","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Undeclared","Economics","G6/G7","Male","45","45","61860","59460"
"In post","2023","Undeclared","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Economics","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Undeclared","Economics","SEO/HEO","Male","35","35","36540","36890"
"In post","2023","Undeclared","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Finance","AA/AO","Female","20","15","[c]","[c]"
"In post","2023","Undeclared","Finance","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Finance","EO","Female","50","45","28180","27470"
"In post","2023","Undeclared","Finance","EO","Male","35","30","28920","28550"
"In post","2023","Undeclared","Finance","G6/G7","Female","60","55","61840","59840"
"In post","2023","Undeclared","Finance","G6/G7","Male","75","75","62230","60510"
"In post","2023","Undeclared","Finance","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Finance","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Finance","SEO/HEO","Female","120","110","39030","37680"
"In post","2023","Undeclared","Finance","SEO/HEO","Male","130","125","39810","39000"
"In post","2023","Undeclared","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Geography","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Geography","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Geography","EO","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Geography","EO","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Geography","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Geography","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Geography","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Geography","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Human Resources","AA/AO","Female","45","40","22710","22220"
"In post","2023","Undeclared","Human Resources","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Undeclared","Human Resources","EO","Female","80","75","28160","27470"
"In post","2023","Undeclared","Human Resources","EO","Male","95","90","29370","28240"
"In post","2023","Undeclared","Human Resources","G6/G7","Female","100","95","58040","55770"
"In post","2023","Undeclared","Human Resources","G6/G7","Male","35","35","60450","59610"
"In post","2023","Undeclared","Human Resources","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Human Resources","SEO/HEO","Female","185","175","37990","37760"
"In post","2023","Undeclared","Human Resources","SEO/HEO","Male","130","125","38810","37300"
"In post","2023","Undeclared","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","EO","Female","65","55","29090","28480"
"In post","2023","Undeclared","Intelligence Analysis","EO","Male","65","65","30260","30080"
"In post","2023","Undeclared","Intelligence Analysis","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","SEO/HEO","Female","35","35","37710","38020"
"In post","2023","Undeclared","Intelligence Analysis","SEO/HEO","Male","70","65","39260","39180"
"In post","2023","Undeclared","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","International Trade","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","International Trade","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","International Trade","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Undeclared","International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","International Trade","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","International Trade","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","International Trade","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","EO","Female","20","15","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","EO","Male","25","25","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","SEO/HEO","Female","30","30","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Legal","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Legal","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Legal","EO","Female","25","25","[c]","[c]"
"In post","2023","Undeclared","Legal","EO","Male","40","40","30280","29730"
"In post","2023","Undeclared","Legal","G6/G7","Female","125","110","63380","64440"
"In post","2023","Undeclared","Legal","G6/G7","Male","80","75","67330","67650"
"In post","2023","Undeclared","Legal","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Legal","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Legal","SEO/HEO","Female","80","70","40410","40800"
"In post","2023","Undeclared","Legal","SEO/HEO","Male","100","95","38990","37680"
"In post","2023","Undeclared","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Medicine","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Medicine","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Medicine","EO","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Medicine","EO","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Medicine","G6/G7","Female","35","30","70610","69570"
"In post","2023","Undeclared","Medicine","G6/G7","Male","15","10","[c]","[c]"
"In post","2023","Undeclared","Medicine","SCS level","Female","40","35","131230","126400"
"In post","2023","Undeclared","Medicine","SCS level","Male","30","30","134700","129370"
"In post","2023","Undeclared","Medicine","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2023","Undeclared","Medicine","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Operational Delivery","AA/AO","Female","3310","2805","24200","22520"
"In post","2023","Undeclared","Operational Delivery","AA/AO","Male","3405","3120","27020","24360"
"In post","2023","Undeclared","Operational Delivery","EO","Female","2130","1910","29110","28120"
"In post","2023","Undeclared","Operational Delivery","EO","Male","2300","2175","30780","28480"
"In post","2023","Undeclared","Operational Delivery","G6/G7","Female","330","320","59490","57140"
"In post","2023","Undeclared","Operational Delivery","G6/G7","Male","360","350","62450","60320"
"In post","2023","Undeclared","Operational Delivery","SCS level","Female","30","30","88290","83090"
"In post","2023","Undeclared","Operational Delivery","SCS level","Male","40","40","94970","86700"
"In post","2023","Undeclared","Operational Delivery","SEO/HEO","Female","1355","1285","38020","36280"
"In post","2023","Undeclared","Operational Delivery","SEO/HEO","Male","1515","1465","39980","39140"
"In post","2023","Undeclared","Operational Delivery","Unknown","Female","615","570","31390","29050"
"In post","2023","Undeclared","Operational Delivery","Unknown","Male","270","255","32580","29050"
"In post","2023","Undeclared","Operational Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Operational Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Operational Research","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Operational Research","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Operational Research","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Operational Research","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Operational Research","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Operational Research","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Other","AA/AO","Female","120","105","21910","21690"
"In post","2023","Undeclared","Other","AA/AO","Male","180","175","21310","21600"
"In post","2023","Undeclared","Other","EO","Female","70","60","28770","28120"
"In post","2023","Undeclared","Other","EO","Male","75","75","28040","28120"
"In post","2023","Undeclared","Other","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Undeclared","Other","G6/G7","Male","25","20","[c]","[c]"
"In post","2023","Undeclared","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Other","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Other","SEO/HEO","Female","100","95","38070","36310"
"In post","2023","Undeclared","Other","SEO/HEO","Male","75","75","39460","38790"
"In post","2023","Undeclared","Other","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Other","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Planning","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","G6/G7","Female","10","5","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","G6/G7","Male","20","15","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Policy","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Undeclared","Policy","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Policy","EO","Female","65","60","28800","28720"
"In post","2023","Undeclared","Policy","EO","Male","45","40","29270","29540"
"In post","2023","Undeclared","Policy","G6/G7","Female","320","310","58840","56030"
