"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","60-64","Undeclared","Cabinet Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Business, Energy and Industrial Strategy","AA/AO","5","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Business, Energy and Industrial Strategy","EO","5","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Business, Energy and Industrial Strategy","SEO/HEO","15","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Education","G6/G7","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Education","SEO/HEO","10","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Environment, Food and Rural Affairs","AA/AO","20","20","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Environment, Food and Rural Affairs","G6/G7","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Environment, Food and Rural Affairs","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Levelling Up, Housing and Communities","G6/G7","5","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Transport","AA/AO","50","40","22820","22500"
"In post","2023","60-64","Undeclared","Department for Transport","EO","30","25","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Transport","G6/G7","15","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Transport","SEO/HEO","20","20","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Work and Pensions","AA/AO","135","115","21890","21690"
"In post","2023","60-64","Undeclared","Department for Work and Pensions","EO","190","160","28770","28120"
"In post","2023","60-64","Undeclared","Department for Work and Pensions","G6/G7","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Department for Work and Pensions","SEO/HEO","40","35","38420","38470"
"In post","2023","60-64","Undeclared","Department of Health and Social Care","AA/AO","20","20","[c]","[c]"
"In post","2023","60-64","Undeclared","Department of Health and Social Care","EO","25","25","[c]","[c]"
"In post","2023","60-64","Undeclared","Department of Health and Social Care","G6/G7","55","50","62660","59290"
"In post","2023","60-64","Undeclared","Department of Health and Social Care","SCS level","20","20","[c]","[c]"
"In post","2023","60-64","Undeclared","Department of Health and Social Care","SEO/HEO","50","45","39500","39690"
"In post","2023","60-64","Undeclared","Food Standards Agency","EO","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Foreign, Commonwealth and Development Office","G6/G7","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","HM Land Registry","EO","15","10","[c]","[c]"
"In post","2023","60-64","Undeclared","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","HM Land Registry","SEO/HEO","25","15","[c]","[c]"
"In post","2023","60-64","Undeclared","HM Revenue and Customs","AA/AO","115","90","23030","22520"
"In post","2023","60-64","Undeclared","HM Revenue and Customs","EO","90","65","29980","29730"
"In post","2023","60-64","Undeclared","HM Revenue and Customs","G6/G7","40","35","65530","65130"
"In post","2023","60-64","Undeclared","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","HM Revenue and Customs","SEO/HEO","135","110","39990","39620"
"In post","2023","60-64","Undeclared","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","HM Treasury","SEO/HEO","5","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Home Office","AA/AO","40","30","23510","22400"
"In post","2023","60-64","Undeclared","Home Office","EO","75","55","28900","27650"
"In post","2023","60-64","Undeclared","Home Office","G6/G7","15","15","[c]","[c]"
"In post","2023","60-64","Undeclared","Home Office","SEO/HEO","40","35","38070","36310"
"In post","2023","60-64","Undeclared","Ministry of Defence","AA/AO","195","180","23150","22220"
"In post","2023","60-64","Undeclared","Ministry of Defence","EO","105","95","29580","28550"
"In post","2023","60-64","Undeclared","Ministry of Defence","G6/G7","30","25","[c]","[c]"
"In post","2023","60-64","Undeclared","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Ministry of Defence","SEO/HEO","185","170","39740","38790"
"In post","2023","60-64","Undeclared","Ministry of Defence","Unknown","15","15","[c]","[c]"
"In post","2023","60-64","Undeclared","Ministry of Justice","AA/AO","615","450","27230","25340"
"In post","2023","60-64","Undeclared","Ministry of Justice","EO","165","130","32270","32790"
"In post","2023","60-64","Undeclared","Ministry of Justice","G6/G7","10","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Ministry of Justice","SEO/HEO","100","80","41860","40660"
"In post","2023","60-64","Undeclared","Ministry of Justice","Unknown","70","60","33080","29050"
"In post","2023","60-64","Undeclared","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Office of Rail and Road","G6/G7","15","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Scottish Government","AA/AO","10","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Scottish Government","G6/G7","10","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Scottish Government","SEO/HEO","10","5","[c]","[c]"
"In post","2023","60-64","Undeclared","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","UK Statistics Authority","AA/AO","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","UK Statistics Authority","EO","5","5","[c]","[c]"
"In post","2023","60-64","Undeclared","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Undeclared","Welsh Government","G6/G7","5","5","[c]","[c]"
"In post","2023","60-64","Undeclared","Welsh Government","SEO/HEO","10","5","[c]","[c]"
"In post","2023","60-64","Unknown","Attorney General's Departments","AA/AO","20","15","[c]","[c]"
"In post","2023","60-64","Unknown","Attorney General's Departments","EO","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Attorney General's Departments","G6/G7","45","40","64320","63500"
"In post","2023","60-64","Unknown","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Cabinet Office","AA/AO","10","5","[c]","[c]"
"In post","2023","60-64","Unknown","Cabinet Office","EO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Cabinet Office","G6/G7","15","15","[c]","[c]"
"In post","2023","60-64","Unknown","Cabinet Office","SCS level","10","5","[c]","[c]"
"In post","2023","60-64","Unknown","Cabinet Office","SEO/HEO","15","15","[c]","[c]"
"In post","2023","60-64","Unknown","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Charity Commission","EO","10","5","[c]","[c]"
"In post","2023","60-64","Unknown","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Charity Commission","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Business, Energy and Industrial Strategy","AA/AO","30","25","22900","23240"
"In post","2023","60-64","Unknown","Department for Business, Energy and Industrial Strategy","EO","15","15","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Business, Energy and Industrial Strategy","G6/G7","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Business, Energy and Industrial Strategy","SEO/HEO","50","40","38630","37250"
"In post","2023","60-64","Unknown","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Education","G6/G7","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Education","SEO/HEO","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Environment, Food and Rural Affairs","AA/AO","30","25","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Environment, Food and Rural Affairs","EO","20","20","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Environment, Food and Rural Affairs","G6/G7","20","15","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Environment, Food and Rural Affairs","SEO/HEO","30","25","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for International Trade","G6/G7","15","15","[c]","[c]"
"In post","2023","60-64","Unknown","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for International Trade","SEO/HEO","20","20","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Levelling Up, Housing and Communities","G6/G7","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Transport","AA/AO","70","65","25640","22500"
"In post","2023","60-64","Unknown","Department for Transport","EO","60","55","28450","27400"
"In post","2023","60-64","Unknown","Department for Transport","G6/G7","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Transport","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Work and Pensions","AA/AO","50","40","21890","21690"
"In post","2023","60-64","Unknown","Department for Work and Pensions","EO","50","45","29090","28120"
"In post","2023","60-64","Unknown","Department for Work and Pensions","G6/G7","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Department for Work and Pensions","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Department of Health and Social Care","EO","15","15","[c]","[c]"
"In post","2023","60-64","Unknown","Department of Health and Social Care","G6/G7","50","50","62500","58520"
"In post","2023","60-64","Unknown","Department of Health and Social Care","SCS level","20","15","[c]","[c]"
"In post","2023","60-64","Unknown","Department of Health and Social Care","SEO/HEO","30","30","40040","41950"
"In post","2023","60-64","Unknown","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Foreign, Commonwealth and Development Office","AA/AO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Foreign, Commonwealth and Development Office","EO","20","15","[c]","[c]"
"In post","2023","60-64","Unknown","Foreign, Commonwealth and Development Office","G6/G7","50","50","63800","62730"
"In post","2023","60-64","Unknown","Foreign, Commonwealth and Development Office","SCS level","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Foreign, Commonwealth and Development Office","SEO/HEO","35","30","38990","38240"
"In post","2023","60-64","Unknown","HM Land Registry","AA/AO","35","30","23460","23390"
"In post","2023","60-64","Unknown","HM Land Registry","EO","10","5","[c]","[c]"
"In post","2023","60-64","Unknown","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","HM Land Registry","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","HM Revenue and Customs","AA/AO","715","555","22720","22520"
"In post","2023","60-64","Unknown","HM Revenue and Customs","EO","245","200","29780","29730"
"In post","2023","60-64","Unknown","HM Revenue and Customs","G6/G7","90","80","64230","63990"
"In post","2023","60-64","Unknown","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","HM Revenue and Customs","SEO/HEO","310","260","39650","39290"
"In post","2023","60-64","Unknown","HM Treasury","G6/G7","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","HM Treasury","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Home Office","AA/AO","145","125","22900","22400"
"In post","2023","60-64","Unknown","Home Office","EO","160","130","29030","27580"
"In post","2023","60-64","Unknown","Home Office","G6/G7","15","15","[c]","[c]"
"In post","2023","60-64","Unknown","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Home Office","SEO/HEO","30","30","38510","39090"
"In post","2023","60-64","Unknown","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Ministry of Defence","AA/AO","345","315","23400","21690"
"In post","2023","60-64","Unknown","Ministry of Defence","EO","120","115","29920","29470"
"In post","2023","60-64","Unknown","Ministry of Defence","G6/G7","75","65","59090","56650"
"In post","2023","60-64","Unknown","Ministry of Defence","SCS level","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Ministry of Defence","SEO/HEO","195","185","39260","39040"
"In post","2023","60-64","Unknown","Ministry of Defence","Unknown","155","150","47080","41400"
"In post","2023","60-64","Unknown","Ministry of Justice","AA/AO","150","135","24410","23230"
"In post","2023","60-64","Unknown","Ministry of Justice","EO","20","15","[c]","[c]"
"In post","2023","60-64","Unknown","Ministry of Justice","G6/G7","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Ministry of Justice","SEO/HEO","30","25","[c]","[c]"
"In post","2023","60-64","Unknown","Ministry of Justice","Unknown","210","175","29670","29050"
"In post","2023","60-64","Unknown","National Crime Agency","AA/AO","20","15","[c]","[c]"
"In post","2023","60-64","Unknown","National Crime Agency","EO","95","85","36190","36040"
"In post","2023","60-64","Unknown","National Crime Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","National Crime Agency","SEO/HEO","90","90","46600","45760"
"In post","2023","60-64","Unknown","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Office for Standards in Education, Children's Services and Skills","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Scottish Government","AA/AO","275","230","25640","24890"
"In post","2023","60-64","Unknown","Scottish Government","EO","265","190","34910","37060"
"In post","2023","60-64","Unknown","Scottish Government","G6/G7","55","50","67440","65280"
"In post","2023","60-64","Unknown","Scottish Government","SCS level","10","5","[c]","[c]"
"In post","2023","60-64","Unknown","Scottish Government","SEO/HEO","185","140","44450","42590"
"In post","2023","60-64","Unknown","The National Archives","AA/AO","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","The National Archives","G6/G7","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","The National Archives","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","UK Statistics Authority","AA/AO","115","75","21580","21200"
"In post","2023","60-64","Unknown","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","UK Statistics Authority","G6/G7","10","5","[c]","[c]"
"In post","2023","60-64","Unknown","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","UK Statistics Authority","SEO/HEO","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Welsh Government","EO","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Welsh Government","SEO/HEO","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Attorney General's Departments","AA/AO","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Attorney General's Departments","G6/G7","10","10","[c]","[c]"
"In post","2023","65+","Declared disabled","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Cabinet Office","G6/G7","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Cabinet Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","15","10","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Education","EO","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Education","SEO/HEO","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","20","15","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Environment, Food and Rural Affairs","EO","10","10","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","15","15","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Transport","AA/AO","40","30","21460","22500"
"In post","2023","65+","Declared disabled","Department for Transport","EO","30","20","28650","27450"
"In post","2023","65+","Declared disabled","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Transport","SEO/HEO","10","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Work and Pensions","AA/AO","325","230","22220","21690"
"In post","2023","65+","Declared disabled","Department for Work and Pensions","EO","345","240","28900","28120"
"In post","2023","65+","Declared disabled","Department for Work and Pensions","G6/G7","10","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department for Work and Pensions","SEO/HEO","60","40","37790","34970"
"In post","2023","65+","Declared disabled","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department of Health and Social Care","G6/G7","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","5","5","[c]","[c]"
"In post","2023","65+","Declared disabled","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","HM Land Registry","AA/AO","10","5","[c]","[c]"
"In post","2023","65+","Declared disabled","HM Land Registry","EO","10","5","[c]","[c]"
